Company,employees,anrv,latest,date
Sosivio,24,1200000,4000000,44317
Epoch,23,1000000,3600000,44593
Zeplin,140,4387000,1200000,42332
"ServusConnect, Inc.",9,2499000,50000,43091
Vyrill,14,2000000,3000000,44621
Elastisys,39,4500000,679613,42788
back4app,12,2400000,770000,42887
Slab,40,1050000,2200000,43137
Obviously AI,14,4100000,1100000,44378
Admiral: The Visitor Relationship Management Company,30,4000000,2600000,43547
Insurdata,8,2000000,3000000,43570
8base,53,4500000,10600000,44652
UpLink,22,1000000,3000000,43809
ripe.io,14,2400000,2400000,43354
wappier,91,2500000,4000000,43783
IronCore Labs,11,3000000,1500000,43279
Spiro.AI,35,2546000,2500000,43621
Givebutter,52,4200000,7000000,44713
Bloq,41,4000000,250000,42614
Hiatus,26,4200000,1200000,42789
IMAJION,9,2400000,1200000,42998
HomeZada,4,1000000,2100000,41913
Second Front Systems,61,3000000,2100000,44197
Agency Spotter,12,4300000,230000,43837
Rhithm,47,2000000,4000000,44341
KlariVis,33,3900000,2500000,44013
CleverMiles,1,1400000,20144,40965
WaitTime,17,1900000,914286,42898
PatientWing,16,2400000,150000,42816
Botanalytics,4,1300000,301756,42883
Ecomedes,18,4000000,3250000,44259
Spiketrap,23,3000000,3000000,44013
Bedrock Ocean Exploration,30,1000000,8000000,44266
Kronologic,27,3000000,20000000,44409
Selequity,16,2000000,590000,42788
Forelinx,5,2591000,150000,42269
SightPlan,69,3500000,5000000,43556
Stampede,21,2400000,643363,43781
Fountain9 (YC W21),41,1000000,1900000,44378
Everysk Technologies,22,1000000,1300000,43922
CloudCannon,21,2482000,518401,41932
ClinCapture,29,5000000,,43374
Major League Hacking,220,1300000,1000000,42459
Hubly Inc,20,3300000,1300000,44531
Cien.ai,14,1500000,3500000,43617
ThisWay Global,18,4000000,2082519,42640
GitStart | For companies (YC S19),32,1800000,5000000,44682
Datatron,15,4200000,2700000,42940
Transmute,19,3000000,2040000,44125
Saikou Optics Inc,3,1483000,343090,42494
musx,7,4532000,500000,41983
FuzeUs Inc.,1,3604000,271000,41730
CourseStorm,19,1400000,1150000,43507
Mentor Spaces,16,3250000,2500000,44406
Allstacks,39,2200000,4000000,44378
Athlete Network,63,1200000,2000000,42583
FREEMO,3,4200000,690126,42494
Dyte,44,2000000,11600000,44652
Captiv8,180,4200000,2000000,42480
Finchloom,26,1400000,150000,42465
Wisy,20,4705000,900000,44044
Enwoven,17,2804000,,42430
Retrium,21,2100000,1600000,43615
Gozio,51,5000000,1700000,42074
LeadFerret,11,2200000,250000,41949
Tantiv4,25,3100000,700000,42528
Second Front Systems,61,3000000,2100000,44197
Range,31,1200000,6000000,43874
Warply,21,3478000,500000,41328
Optellum,39,1200000,1251766,43661
frevvo Inc.,16,3082000,500000,39448
TrakStream Inc,2,2000000,15000,42005
"NetBeez, Inc.",13,2000000,500000,42690
frevvo Inc.,16,3082000,500000,39448
Ovation,39,1500000,1000000,43689
Dashbot,11,1000000,3000000,43468
Caretaker,64,1722000,2200000,42913
